WELL_BORE_CODE,wc_early,wc_late,wc_change_pts
NO 15/9-F-1 C,0.04196167897780009,0.773175595797142,73.12139168193418
NO 15/9-F-11 H,0.0273555253212797,0.8482696748625513,82.09141495412716
NO 15/9-F-12 H,0.005092587485985417,0.8722820900060841,86.71895025200988
NO 15/9-F-14 H,0.0027114979949562582,0.9659528660560411,96.32413680610848
NO 15/9-F-15 D,0.0,0.5852106677969363,58.52106677969363
NO 15/9-F-5 AH,0.30241120242076364,0.20427681162421285,-9.813439079655078
