WELL_BORE_CODE,n_months,monthly_decline_pct,peak_month_oil_sm3,last3mo_avg_oil_sm3,pct_below_peak
NO 15/9-F-1 C,25,6.521431552566625,24901.95,3102.4066666666663,87.54151114002451
NO 15/9-F-11 H,39,0.7863433897698058,55029.22,12525.93,77.23767482075885
NO 15/9-F-12 H,102,3.343019229145172,166439.67,3794.7200000000007,97.72006277109297
NO 15/9-F-14 H,97,3.6238624046431966,142817.06,2538.2833333333333,98.22270299267235
NO 15/9-F-15 D,30,2.8100949172455647,7898.6,2997.1633333333334,62.05449910954683
NO 15/9-F-5 AH,5,-18.149054204419212,9395.7,8545.496666666668,9.048855682209233
