WELL_BORE_CODE,total_oil_sm3,total_gas_sm3,total_water_sm3,total_onstream_hrs,days_with_records,first_date,last_date,calendar_days,uptime_pct,avg_oil_rate_sm3d,oil_share_pct
NO 15/9-F-12 H,4579609.55,667542278.02,6833792.4,65204.06928,3056,2008-02-12,2016-09-17,3141,86.49590003183701,1458.0100445717924,45.646356461920604
NO 15/9-F-14 H,3942233.39,578009542.02,7121309.88,62773.67519,3056,2008-02-12,2016-09-17,3141,83.27188155311472,1255.0886310092328,39.29343508684614
NO 15/9-F-11 H,1146822.53,174159747.11,1090345.25,26006.21614,1164,2013-07-08,2016-09-17,1168,92.77331670947488,981.8686044520548,11.43072775777176
NO 15/9-F-1 C,177187.33,26363071.84,207147.92,9959.53315,744,2014-04-08,2016-04-21,745,55.702086968680085,237.83534228187918,1.7660798234897463
NO 15/9-F-15 D,148518.56,22505350.95,52366.4,17824.83278,978,2014-01-12,2016-09-17,980,75.78585365646259,151.54955102040816,1.4803295034117359
NO 15/9-F-5 AH,38432.8,6131674.37,12788.6,2877.32502,144,2016-04-12,2016-09-17,159,75.40159905660377,241.71572327044026,0.3830713665599947
