WELL_BORE_CODE,n,corr_AVG_CHOKE_SIZE_P,corr_AVG_WHP_P,corr_AVG_DOWNHOLE_PRESSURE,corr_AVG_DP_TUBING,corr_ON_STREAM_HRS
NO 15/9-F-1 C,437,0.12978938174312848,0.722675775546579,-0.2740872156123866,-0.7198047366316871,0.27553133011662356
NO 15/9-F-11 H,1122,-0.4293397585572025,0.20304312429472918,-0.515766918773562,-0.6472121361875468,0.14061448548931188
NO 15/9-F-12 H,2838,-0.4326537195833319,0.7122341594719894,-0.6001878873424799,0.8329503050143117,0.026994473380494377
NO 15/9-F-14 H,2724,-0.6412164347333299,0.8026176985257328,-0.5429905785858739,-0.8165329120512453,-0.006471987361200795
NO 15/9-F-15 D,769,-0.20395791960412474,0.46808272538250145,0.08537810491878653,-0.2665998006033528,-0.08622739136549219
NO 15/9-F-5 AH,121,0.5950088544089688,0.12244646659872903,,,0.5785882636828684
